Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,773.737,638.058,883.747,1026.76,949.753,1327.454,1650.15,2273.54,4217.05,6776.616,8470.77,12251.447,20454.526,21268.6,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Albania,ALB,3021.608,3223.293,3751.341,4294.057,4165.712,4253.72,3898.021,3927.357,4374.731,4378.398,4598.418,5240.143,4712.095,4814.771,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Algeria,DZA,87930.993,84293.329,90853.592,92533.078,89493.135,107127.738,101165.196,109496.62,110299.693,121432.705,119177.5,121187.016,129987.816,134215.867,,
CO2 emissions (kt),EN.ATM.CO2E.KT,American Samoa,ASM,,,,,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Andorra,AND,524.381,524.381,531.715,535.382,564.718,575.719,546.383,539.049,539.049,517.047,517.047,491.378,491.378,491.378,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Angola,AGO,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,25709.337,27792.193,29057.308,30340.758,33399.036,32463.951,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Antigua and Barbuda,ATG,344.698,344.698,363.033,388.702,407.037,410.704,425.372,469.376,480.377,509.713,524.381,513.38,524.381,524.381,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Argentina,ARG,142136.587,133720.822,124714.67,135062.944,157589.325,162110.736,175436.614,175176.257,189107.19,179961.692,187919.082,191633.753,192359.819,189818.588,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Armenia,ARM,3465.315,3542.322,3043.61,3428.645,3644.998,4352.729,4382.065,5064.127,5559.172,4360.063,4217.05,4917.447,5694.851,5496.833,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Aruba,ABW,2321.211,2357.881,2372.549,2416.553,2420.22,2497.227,2497.227,2592.569,2508.228,2522.896,2456.89,2438.555,1301.785,876.413,,
