Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,,,,,,,2461665937.89386,4128820723.04713,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20046334303.9661,20050189881.6659,19331286549.3323
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2424499009.14264,3314898291.37753,2359903108.25164,2707123772.39715,3414760915.22464,3632043907.78974,4060758804.1064,4435078647.86039,5746945912.88569,7314865175.67485,8158548716.52941,8992642348.95796,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12781029643.5936,13219857459.1009,11398392444.316
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,41764052457.8814,46941496779.8499,48177862501.9495,48187747528.899,48640574566.9786,54790245600.6141,54744714396.5684,56760288973.3478,67863829879.9395,85324998813.9719,103198228458.489,117027304746.615,134977087734.369,171000691878.381,137211039897.737,161207268655.591,200013051408.161,209047389309.727,209722675517.938,213983107815.848,164779467702.947
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,639000000,638000000,641000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1401695227.56587,1484017897.09172,1717485413.13759,2373927765.23702,2916786689.84356,3248215396.09501,3536632793.87781,4010990966.32904,4001201113.22689,3650083356.48791,3346516556.29139,3427022518.76564,3146151869.45908,3248924588.42273,,
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,5039552482.42778,7526446605.51712,7648377412.83277,6445041824.66621,6152922942.98032,9129594818.60749,8936063723.20121,12497346669.6684,14188949190.618,19640848728.8937,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102626929544.805
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,494185185.185185,541074074.074074,579851851.851852,620037037.037037,651851851.851852,783837851.851852,773765185.185185,802529333.333333,839996370.37037,898356148.148148,997374111.111111,1135143592.59259,1289254333.33333,1347349851.85185,1206410370.37037,1135539037.03704,1129918370.37037,1204713111.11111,1200587518.51852,1220976000,1259259259.25926
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930461.189,198737095024.998,232557260828.303,287530508421.561,361558037105.274,332976484584.295,423627422103.855,530163281582.146,545982375704.347,552025140256.732,526319673732.799,584711485365.112
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469515.07252,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10529182498.3475
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722798882.68156,1873452513.96648,1920262569.8324,1941094972.06704,2021301675.97765,2228279329.60894,2331005586.59218,2421474860.3352,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,,,,
